"name","tot_alk","mass","s","sample.index","evap"
"crmA",2224.60940014597,80.357,33.464,80.357,2217.45631525804
"crmB",2219.65824148344,79.978,33.464,79.978,2211.09914800729
"crmC",2219.56606529826,79.303,33.464,79.303,2209.58728401561
"crmD",2211.85057082233,79.603,33.464,79.603,2200.49318663326
"crmE",2222.17517790248,80.961,33.464,80.961,2209.34671311664
"crmF",2221.73548638946,80.274,33.464,80.274,2207.49359224594
"junkA",1814.26055428291,80.821,30.58,80.821,1814.26055428291
"junkB",1812.94181344302,80.719,30.58,80.719,1811.77292768322
"junkC",1870.49086066987,80.05,30.3,80.05,1868.08043430302
"junkD",1875.61614540623,79.521,30.3,79.521,1871.99293327731
"junkE",1870.44435398018,80.504,30.3,80.504,1865.6298253985
